Strain Assessment Type,0,ASME 2016
Calculation Mode,      1, calculated circ and axial. 
Axial smooth factor,   0.001
Circ smooth factor,    0.0001
Channels analysed, 29, 30, 31, 32, 33, 34, 
Intermed circ traces,5
Wall Thickness,    6.350000 mm, 0.250000 in 
OD,                323.850000 mm, 12.750000 in 
Axial Disp  (m)
No of rows, 321, no of cols, 7 
        6277.518153600000005,   0.000083491554988,  -0.001993418819405,  -0.003790034249221,   0.000000000000000,  -0.002320068951579,  -0.000038718319669, 
        6277.520287200000894,   0.000085453207727,  -0.001999947118302,  -0.003800043469154,   0.000000000000000,  -0.002331316162850,  -0.000040995145933, 
        6277.522420799999963,   0.000087506513953,  -0.002006093358011,  -0.003809647589777,   0.000000000000000,  -0.002342063650286,  -0.000043290160150, 
        6277.524249600000076,   0.000089340087042,  -0.002011052966172,  -0.003817551824346,   0.000000000000000,  -0.002350871446566,  -0.000045270510957, 
        6277.526383200000964,   0.000091565418811,  -0.002016474127983,  -0.003826384951175,   0.000000000000000,  -0.002360667994664,  -0.000047595113527, 
        6277.528212000000167,   0.000093546231556,  -0.002020804361242,  -0.003833618471689,   0.000000000000000,  -0.002368648422223,  -0.000049598798138, 
        6277.530345600000146,   0.000095941833291,  -0.002025483025797,  -0.003841658190520,   0.000000000000000,  -0.002377466420423,  -0.000051948071364, 
        6277.532174400001168,   0.000098067028703,  -0.002029170505224,  -0.003848203071904,   0.000000000000000,  -0.002384597936339,  -0.000053970516944, 
        6277.534308000000237,   0.000100629101289,  -0.002033092722024,  -0.003855430307550,   0.000000000000000,  -0.002392415171779,  -0.000056339073617, 
        6277.536136800000349,   0.000102895050672,  -0.002036126820246,  -0.003861271711554,   0.000000000000000,  -0.002398681221236,  -0.000058375955061, 
        6277.538270400001238,   0.000105618247458,  -0.002039281492618,  -0.003867670726659,   0.000000000000000,  -0.002405481783405,  -0.000060758586636, 
        6277.540404000000308,   0.000108425001556,  -0.002042018583195,  -0.003873618102747,   0.000000000000000,  -0.002411731443177,  -0.000063146042463, 
        6277.542232800000420,   0.000110895642491,  -0.002044030591594,  -0.003878353647457,   0.000000000000000,  -0.002416649271260,  -0.000065194605352, 
        6277.544366399999490,   0.000113851466829,  -0.002045987325086,  -0.003883452713262,   0.000000000000000,  -0.002421874421334,  -0.000067585480907, 
        6277.546195200000511,   0.000116446046301,  -0.002047329621670,  -0.003887455545172,   0.000000000000000,  -0.002425914194513,  -0.000069634443050, 
        6277.548328800000490,   0.000119541535889,  -0.002048505242642,  -0.003891692854197,   0.000000000000000,  -0.002430115754903,  -0.000072023004197, 
        6277.550157599999693,   0.000122251195663,  -0.002049178534489,  -0.003894951106096,   0.000000000000000,  -0.002433279359822,  -0.000074067610643, 
        6277.552291200000582,   0.000125474858118,  -0.002049574171640,  -0.003898312852459,   0.000000000000000,  -0.002436460502746,  -0.000076448268072, 
        6277.554424800000561,   0.000128761447521,  -0.002049550534952,  -0.003901197388404,   0.000000000000000,  -0.002439093525364,  -0.000078822346468, 
        6277.556253599999764,   0.000131625020187,  -0.002049197190257,  -0.003903286890518,   0.000000000000000,  -0.002440915130433,  -0.000080850961494, 
        6277.558387200000652,   0.000135015551110,  -0.002048397910869,  -0.003905274141430,   0.000000000000000,  -0.002442533458610,  -0.000083208850153, 
        6277.560215999999855,   0.000137960934639,  -0.002047382535405,  -0.003906588297871,   0.000000000000000,  -0.002443486852377,  -0.000085221150675, 
        6277.562349599999834,   0.000141439391374,  -0.002045814701837,  -0.003907663658309,   0.000000000000000,  -0.002444093877813,  -0.000087557006478, 
        6277.564178400000856,   0.000144454609439,  -0.002044143736975,  -0.003908189918511,   0.000000000000000,  -0.002444182114025,  -0.000089547828524, 
        6277.566311999999925,   0.000148009005955,  -0.002041814198448,  -0.003908338740291,   0.000000000000000,  -0.002443782070992,  -0.000091856005465, 
        6277.568140800000037,   0.000151084872954,  -0.002039492992484,  -0.003908064609894,   0.000000000000000,  -0.002443009008083,  -0.000093821179602, 
        6277.570274400000926,   0.000154705169741,  -0.002036408376150,  -0.003907272819628,   0.000000000000000,  -0.002441606520858,  -0.000096097106366, 
        6277.572407999999996,   0.000158357566458,  -0.002032920126854,  -0.003905968874032,   0.000000000000000,  -0.002439666150107,  -0.000098353618039, 
        6277.574236800000108,   0.000161512178306,  -0.002029610590719,  -0.003904440505519,   0.000000000000000,  -0.002437575937789,  -0.000100271114041, 
        6277.576370400000997,   0.000165218451195,  -0.002025379097594,  -0.003902174832457,   0.000000000000000,  -0.002434640299825,  -0.000102487399035, 
        6277.578199200000199,   0.000168415633557,  -0.002021436582963,  -0.003899816689730,   0.000000000000000,  -0.002431699204662,  -0.000104368018221, 
        6277.580332800000178,   0.000172166475483,  -0.002016471348248,  -0.003896578036489,   0.000000000000000,  -0.002427774534327,  -0.000106538596171, 
        6277.582161599999381,   0.000175396700269,  -0.002011904200619,  -0.003893382958090,   0.000000000000000,  -0.002423989820122,  -0.000108377816177, 
        6277.584295200000270,   0.000179179326084,  -0.002006215305974,  -0.003889165034530,   0.000000000000000,  -0.002419086091257,  -0.000110497451426, 
        6277.586428800000249,   0.000182972457863,  -0.002000141047215,  -0.003884417221932,   0.000000000000000,  -0.002413659296530,  -0.000112587774442, 
        6277.588257600000361,   0.000186228353887,  -0.001994630119046,  -0.003879924083383,   0.000000000000000,  -0.002408593894474,  -0.000114355475257, 
        6277.590391200000340,   0.000190027859061,  -0.001987848626488,  -0.003874185371941,   0.000000000000000,  -0.002402204430297,  -0.000116389767228, 
        6277.592220000000452,   0.000193281539876,  -0.001981737028668,  -0.003868838400292,   0.000000000000000,  -0.002396319296242,  -0.000118109935359, 
        6277.594353600000431,   0.000197070173093,  -0.001974261669525,  -0.003862097713025,   0.000000000000000,  -0.002388980380292,  -0.000120089778975, 
        6277.596182400000544,   0.000200308736706,  -0.001967561317841,  -0.003855886502580,   0.000000000000000,  -0.002382287510764,  -0.000121763881116, 
        6277.598315999999613,   0.000204073503867,  -0.001959406730608,  -0.003848130912839,   0.000000000000000,  -0.002374013580254,  -0.000123690270205, 
        6277.600144799999725,   0.000207285975356,  -0.001952131457530,  -0.003841043980871,   0.000000000000000,  -0.002366525812056,  -0.000125318549584, 
        6277.602278400000614,   0.000211013183120,  -0.001943315139011,  -0.003832259923275,   0.000000000000000,  -0.002357332217269,  -0.000127191582683, 
        6277.604411999999684,   0.000214713689622,  -0.001934150341691,  -0.003822916422907,   0.000000000000000,  -0.002347650286061,  -0.000129036095359, 
        6277.606240800000705,   0.000217860459078,  -0.001926021433244,  -0.003814459019058,   0.000000000000000,  -0.002338966331315,  -0.000130594435155, 
        6277.608374400000685,   0.000221497812744,  -0.001916223131798,  -0.003804064203059,   0.000000000000000,  -0.002328390447593,  -0.000132385758279, 
        6277.610203199999887,   0.000224583293086,  -0.001907558322896,  -0.003794698505832,   0.000000000000000,  -0.002318948281099,  -0.000133898296843, 
        6277.612336800000776,   0.000228141763119,  -0.001897142799313,  -0.003783236141370,   0.000000000000000,  -0.002307497425904,  -0.000135636280188, 
